" |text невозможно записать ребенок прием госуслуга приложение расписание определяться специалист педиатр участок"
" |text расписание участковый терапевт запись подростковый врач номер участок незнать постоянно меняться кабинет участковый терапевт терапевт непоказывать запись подростковый адрес плата жила рудник строительный далее"
" |text пациент ограниченный подвижность опереться спуск подъем лестница"
" |text мочь записать ребенок врач педиатр выходить указанный участок хотя ранний проблема участок"
" |text отсутствовать расписание педиатр участок"
" |text прописать адрес адоратский мочь записаться педиатр онлайн отображаться график работа"
" |text возможно дозвониться номер данный диспансер перезванивать отзыв гис доводить руководство данный учереждение информация глобальный системный проблема сюда приезжать челнинец район нужный уточнение телефон"
" |text нужный запись полис госуслуга полис ребенок выбрать стома гии наб челны записаться единый ную свободный ячейка сегодня звонить регистратор кричать сегодня работать насчет завтрашний запись ответить ребенок принимать"
" |text вход кабинет терапевт отсутствовать скамейка ожидание свой очередь очень долго принимать пациент"
" |text потерянный анализ группа кровь резус фактор го декабрь искать год запись сдавать остальной анализ вич гепатит получить резус фактор разводить рука искать хотеть весь дело"
" |text сегодня год утро звонить детский отделение стоматологический поликлиника трубка никто брать сделать запись регистратура никто отвечать новое год удобно записывиться единый номер"
" |text обшарпать вид облицовка здание поликлиника ломжинский"
" |text поликлиника год казань отказать поликлиника азино ребенок нужно обходить врач каждый день кататься пестрец прием врач нереально"
" |text палата ужасный состояние кран капать закрываться раковина бегать мокрица кровать оочень жесткий еда привозить лениногорск невыносимый сразу отход выкидывать картошка полусырой весь соль кошмар"
" |text попытка записаться врач портал госуслуга выходить сообщение указанный участок либо ваш участковый отсутствовать расписание обратиться регистратура ф амирхан участок помнить полис менять ранее запись доступный"
" |text мочь записать ребенок детский стоматолог медосмотр протяжение х месяц пытаться записаться утром днем вечером указать запись интересный явление утро запись открытый заходить утро новый день открытый весь время занятый"
" |text женский консультация достоевский гинеколог участок система давать возможность записаться связь отсутствие расписание регистратура ответить запись портал госуслуга работать"
" |text здравствовать утвердить распор е р перечень мед изделие отпуск рецепт инфузиона набор резервуар инсулин помпа инвалид гр сах диабет тип прием энд диспансер смочь получить положить расходник"
" |text мочь получить талон офтальмолог постоянно запись либо весь занятый мама нужно оформлять инвалидность мочь пройти специалист почему нужно столько специалист весь равно мочь попасть прием"
" |text год анализ кровь город делать гб постоянно реактив креатинин делать общий билирубин срб делать платно сдавать"
" |text часы сидеть мама приемный покой часы врач меняться перчатка мама известись толком ничто говорить сидеть мама ждать очередной врач"
" |text требоваться очистка крыша снег"
" |text нужный запись врач принимать время время факт ожидать человек записать порядок"
" |text отсутствовать расписание врач гинеколог участок"
" |text филиал деть половина ки номер ул журналист далее год отсутствовать постоянный педиатор участок номер каждый день принимать разный врач итог день болезнь принимать повторный прием бол лист закрывать помочь"
" |text закрытый вход этаж грудной ребенок приходиться обходить весь больница попасть этаж лечение лифт работать сделать вход запереть"
" |text год прислать прием офтальмолог запись тк запись долгий время плановый обследование грудной ребенок мес свободный время данный момент врач принципиально врач принять отправить х мес реб домой ссылаться запись"
" |text невозможно записаться прием стоматолог омс телефон госуслуга нужно приходить утро брать талон сср давно рухнуть хороший традиция жить стоматология создавать портал гос услуга итд весь равно скатываться прошлый век"
" |text здравствовать хотеть высказать свой недовольство адрес женский консультация вход надевать бахилы аж шт прививочный кабинет заставлять снимать обувь бахилы отказ нахамить основание должный снимать обувь бахилы просить разобрать спасибо"
" |text добрый вечер просить исправить сложиться ситуация детский поликлиника конец го год пытаться попасть плановый вакцинация весь тщетно прийти вакцина корь эпид паротит детский сад грозиться принять ребенок прививка просить принять мера"
" |text вечно закрытый запасный второе выход поликлиника сторона здание кроме основое прививка мант нужно проходить коридор заболеть ребенок фильтр ребенок направлять прием температура этаж здоровый ребенок"
" |text прием каб врач смочь поставить диагноз позвать коллега смочь просьба направить ответить ходить назначение делать слово прийтись просить записать листок сказать неделя пройти прийти снова"
" |text е январь вс наметить госпитализация го операция анализ необходимый госпитализация готовый завтра завтра пятница е последний день прием врач неделя необходимый заключение терапевт весь анализ расписание госуслуга отсутсутствовать"
" |text жить город километр попасть врач пользоваться электронный запись декабрь месяц начаться проблема запись программа работать руководство поликлиника осведомить проблема вынудить ехать город записаться терминал"
" |text вход здание миновать пластиковый тамбур пол скользкий плитка находиться уклон резиновый коврик закрепить сегодня вечером упасть ребенок получить ушиб регистратура ответить это происходить постоянно требовать устранить данный недоработка"
" |text просить уточнить вопрос получение бесплатный витамин беременный срок неделя вопрос витамин врач указать нету никакой витамин хотя иметь право получение бесплатный витамин это сегодняшний день установить анемия степень"
" |text невозможно пройти медосмотр детский сад отсутствие врач невропатолог"
" |text вообще невозможно дозвониться регистратура женский консультация поликлиника зорг запись прием информация участок тп также сайт практически невозможно записаться"
" |text неоднократно сталкиваться грубый агрессивный поведение работник гардероб отказ принимать гардероб шарф который находиться рукав одежда просить рассмотреть возможность принимать вещий полный комплект провести разъяснительный беседа персонал гардероб"
" |text каждый терять карточка анализ предыдущий запись прием"
" |text выходить участковый врач женский консультация адрес ямашева участок"
" |text относиться филиал поликлиника гудованцев участок ул черкасов ранний записаться прием госуслуга возможность написать ваш участковый специалист отсутствовать расписание дозвониться сложно ехать автобус"
" |text добрый день положение сказать прийти питание нужно течение день однако указать течение именно день нужно прийти получаться мочь прийти любой день месяц получить весь положить питание рецепт получаться право нарушить"
" |text невозможно записаться прием онколог течение неделя заходить портал услуга татарин записать отец расписание весь занятый телефон отвечать талон онколог вообще видеть просить разобраться сложиться ситуация"
" |text входной лестница детский поликлиника очень скользкий немедленно принять мера родитель ходить грудничка рука травмоопасный"
" |text прием врач ввод заключение мсэ время прием минута программа врач терапевт весить работать полдень приходиться перезаписываться неделя внесение дать карточка попасть мсэ решить вопрос дать программа"
" |text никак записаться детский стоматолог гос услуга телефон"
" |text поликлиника црб ул галактионов далее бесплатный бахилы человек разносить грязь весь поликлиника"
" |text плохой условие пребывание палата холодный оконный рам плесень оконный проем утеплить ветошь"
" |text стоматологический поликлиника центральный районный больница сабинский район рентген аппарат врач стоматолог отправлять рентген сделать взрослый ребенок должный ехать либо казань либо идти частный платный клиника нужный рентген аппарат"
" |text госуслуга отсутствовать расписание терапевт участок полик ки ул гудованцев делать невозможный записаться прием врач"
" |text прийти прием гардероб принять одежда ссылаться работать выйти прием гардероб закрытый гардеробщица почему гардероб работать врач принимать кабинет верхний одежда оставлять"
" |text кошмар делаться специально проходить платно записаться окулист июль год февраль сей пора принять позвонить просить разобраться дать ситуация"
" |text сидеть час приемный покой детский поликлиника нижнекамск скопиться большой очередь основное детишки год весь неделя слышимый вирус детский сад приемный покоить забитый детишки время никакой мера принять фотографировать недовольный побояться"
" |text госуслуга возможно записать прием терапевт поликлиника номер отсутствие расписание терапевт госуслуга адрес поликлиника гудованцев люба участок например участок"
" |text здравствовать телефон записать мама прием невролог регистратор год указанный срок подъехать итог регистратор сказать невролог принимать актайский сначала нужно терапевт попасть это возмутительно"
" |text ночью свекровь подняться высокий давление попытка вызвать скорый помощь сказать свободный машина прийтись ехать больница поликлиника оказаться банальный инвентарь рука пережимать резиновый перчатка вместо жгут"
" |text гкб холл посещение больной весь мерзнуть пациент замерзать приходить посетитель решить пожалуйста вопрос"
" |text просить рассмотреть вопрос расширение парковочный зона возле тукаевский црб"
" |text мсч кфу университетский клиника вишневский отсутствовать расписание врач терапевт участок"
" |text конец январь мочь записать ребенок невролог любой время сутки портал госуслуга запись полный свободный время прием обращаться регистратура также направлять сайт госуслуга мочь пройти положить медосмотр месячный ребенок"
" |text беременный мочь сдать кровь женский консультация анализ очередь запись закрытый неделя вперед"
" |text больница отсутствовать место оставить коляска санки зимой ветер снег мести коляска улица стоять ребенок приходить лечиться лечение приходиться ложить ребенок ледяной коляска санки тамбур запрещать оставлять сразу выносить обратно"
" |text год льготный категория проходить проверка оружие гибдд охрана далее бесплатно веселый список льготник недавний время приказ главный врач льгота отменить оставить лишь минимум цена высокий охранник нарколог р просить проверить законность цена"
" |text год сей пора отсутствовать электронный очередь врач отделение конкретно педиатр участок это весь остальной участок относиться назвать срок это исправить"
" |text невозможно попасть дежурный врач сидеть очередь утро постоянно врач выходить принимать долго"
" |text обратиться городской поликлиника номер адрес наш год далее оформление лист нетрудоспособность беременность декретный просидеть очередь мина зайти кабинет сообщать бумага сказать прийти ранний ужас"
" |text сходить половина ку мед осмотр деть гинеколог пропустить осмотр детский сад садик попросить посетить доктор принести спр ку врач сделать запись кара ке попросить сад справка сфотографировать сегодня выясниться должный принести врач"
" |text лестничный площадка го го этаж грязь неделя никто убирать"
" |text час пытаться вызвать врач дом дозвониться поликлиника нереально занятый постоянно трубка скидывать вообще работать"
" |text сделать срочно накладка керамический плитка лестница неделя назад оставлять обращение написать заявка решить отписка заниматься обратиться вышестоящий орган ваш бездействие"
" |text жить снт табигать зарегистрировать проблема появляться заболеть база дать госуслуга колл центр записаться невозможно говорят база дать"
" |text очень нужный помощь врач кардиолог актанышский районный больница кардиолог больной очень должный обратиться больной случай прийтись поехать наб челны обратиться платный клиника малое деньга почему район деньга кардиолог"
" |text почему электронный запись узи нужно приходить утро поликлиника хотя поликлиника работать живой очередь получиться записываться"
" |text записаться терапевт госуслуга пришлый регистратура заявлять запись сегодня врач дежурный сидеть очередь поликлиника отменять запись предупреждать требовать навести порядок"
" |text сын температура кой сбить поехать приемный покоить ркиб человек сидящиеуже около часы просидеть также час пропускать вне очередь взрослый указание старший мед сестра это помимо скорый сидеть невозможно принять мера"
" |text невозможно записаться доктор прием азнакаевский поликлиника год смочь записаться январь февраль хотя ответить весь работать заявка решить"
" |text заинск травматолог приходить обед обед четыре часы очередь принять мера пожалуйста"
" |text несколько пытаться регистратура прикрепить участок также просить закрепить указание записываться прием портал терапевт утверждать рикоеплена участок регистратура говорить участок участковый терапевт"
" |text мама лежать больница гипертоник врач обход спрашивать нея давление знать давление медсестра велеть мама принести аппарат дом сожаление возможность купить аппарат папа гипертоник беспредел"
" |text потерянный общий анализ кровь дата сдача медсестра пост видеть дата сдача хотя записывать февраль день сдавать вич гепатит группа кровь общий анализ кровь февраль запланировать операция знать делать"
" |text обещать гардероб детский поликлиника работать время фото гардероб работать"
" |text возможность верный очень маленькая шанс взять талон прием детский стоматолог весь город нижнекамск указать врач который врач вести прием день неделя образ человек вынудить обращаться платный учреждение"
" |text здравствовать почему поликлиника вести запись фгдс процедура телефон нужно лично приехать записаться это очень удобно приезжать район минута свой транспорт"
