" |text просьба запретить парковка проезд арка дом улица копылов повесить соответствующий знак парковка мешать уборка снег проезд машина проход пешеход"
" |text зебра установить конец дом амирхан детский сад теремок недавно перенести сделать напротив подъезд спуск сделать часто стоять машина винить водитель это зимой чистить снег стать очень удобно ходить коляска"
" |text летом произойти смена режим светофор пересечение улица беломорский челюскин ясно пешеход переходить дорога перекресток нуждаться установка пешеходный светофор новый режим путать начало кажется весь"
" |text житель семь дом ежедневно переходить это место вынужденно нарушать пдд расстояние соседний переход километр хотя согласно гост р пешеходный переход автомобильный дорога населить пункт располагать метр нужный переход"
" |text часы постоянный пробка ул первопроходец сторона город невозможно выехать сторона промзона ехать нескончаемый поток автомобиль очень частый авария также участие городской автобус необходимый организовать новый развязка либо установить светофор"
" |text выезд офисный центр установленный знак хотя данный съезд обозначить проезд односторонний движение мочь привести гибель человек"
" |text просить запланировать установка знак съезд направо сторона тц корстон"
" |text перекресток горьк шоссе въезд тереть озеро лебяжий необходимый установить светофор движение транспорт дать участок крайне опасный плотный поток автомобиль заезд выезд отдыхать база местный житель тереть озеро лебяжий затруднить"
" |text цель обеспечение безопасный движение жила зона эффективный использование парковочный пространство просить установить знак место существующий карман также дополнить табличка однозначный указание способ постановка автотранспорт"
" |text трамвайный засыпка дорога асфальтирование установить иск неровность знак гост читать почему делать"
" |text отсутствовать табличка указание подземный переход переход бульвар энтузиаст вроде козырек возвести доделать стандарт позволять совесть"
" |text двигаться сторона советский площадь ул аграрный светофор перекресток ул наш жиганов полоса движение переходить причем переход полоса идти двигаться машина ряд создавать аварийный ситуация итог дтп нужный пересмотр разметка"
" |text значительный шум звуковой сопровождение светофор ночное время закрытый окно стеклопакет перекресток ул ленин чехов просить решить вопрос отрегулирование уровень шум работать звуковой сигнал светофор показатель превышать допустимый норма"
" |text забыть знак пешеходный переход открыть двухсторонний движение увеличиться поток машина пешеход"
" |text требовать выровнять знак уступка дорога"
" |text ул бигичев возле дом устроенный пешеходный переход часто водитель замечать пропускать пешеход среди который ребенок мама папа коляска напротив друг друг детсад просить рассмотреть вариант резиновый приподнять пешеходный переход"
" |text просить светофор установленный адрес ул дубравный далее отрегулировать интервал время автомобиль необходимый поставить минимум секунда интервал секунда образоваться большой пробка тянуться ул проспект победа"
" |text дорога акчарлак компрессорный машина занимать минута расстояние километр дорога очистить снег авария светофор весь красный отрегулировать пожалуйста светофор ершовый сибирский тракт оба сторона"
" |text просить запланировать установка знак внутренний проезжий часть дом оба сторона движение сторона стоянка запретить четный день противоположный стоянка запретить нечетный день установка знак помочь коммунальный служба расчищать проезд"
" |text просить запланировать установка знак внутренний проезжий часть дом оба сторона движение сторона стоянка запретить четный день противоположный стоянка запретить нечетный день установка знак помочь коммунальный служба расчищать проезд"
" |text хаотичный движение транспорт около сити центр тц якорь опасный пешеход очередь ребенок необходимый централизовать заезд выезд тц например около старое эссена"
" |text напротив гимназия улица метр гафурить стоить светофор днем необходимый поток человек большой ночью нужно сделать желтый мигать единый душа сколько наблюдать красный крайне редко либо останавливаться"
" |text просить проверить законность установка"
" |text установленный забор ограждение зеленый зона пешеход транс сравнить ухудшиться обзор выезд двор проф камай машина ниже забор просить установить угл сфера зеркало противоположный сторона выезд двор улучш обзор выезд гл дорога"
" |text добрый день просить настроить светофор перекресток мазит гафурить кызыл татарстан возможность проезд прямо налево сторона фкп кзтм иэуп проезжать гафурить сторона автовокзал дать перекресток светофор настроить проезд стрелка направо"
" |text поставить пожалуйста знак пешеходный переход машина пропускать ребенок идти школа"
" |text улица жуковский возле лицей установленный знак остановка запретить установить знак возле школа ребенок ход высаживать стоить заменить стоянка запретить возможно высадить ребенок"
" |text тк одежда б ром энтузиаст соорудить новый переход пешеходный знак грамотно расставить исправить выезд парковка водитель перекрыть знак уступить дорога знак пешеходный переход делать лишь исполнить заявка метр даа"
" |text зма недавно установить лежачий полицейский также установить знак беда знак установить продуманно сторона ехать сторона проезжать преграда знак ближний установить знак сторона продуманно"
" |text невозможно сообразить установленный дорожный знак направо карамаленький прямо старое ямкино алькеевский муниципальный район рт установленный данный дорожный знак е проезд запретить кирпич"
" |text просить поставить указатель название улица ул боровецкий большой шильный тукаевский район вызов экстренный служба мочь найти адрес"
" |text знак стоп загораживать знак направление движение соответствие гост знак территория населить пункт распологаться либо пьоскостить либо расстояние метр перекресток танковый мавлютов"
" |text намеренно скрутить запрещать знак остановка стоянка запретить эвакуатор столб около дом ул московский просьба восстановить знак"
" |text просить проверить законность установка"
" |text восстановить заменить знак пдд"
" |text просить проверить законность установка"
" |text просить проверить законность установка"
" |text просить проверить законность установка"
" |text необходимый дублировать подземный пешеходный переход наземный перейти полоса необходимый немало спускаться подниматься никто делать просто перебегать думать поставить забор помочь помочь просто сделать нормальный дублирование"
" |text просить проверить законность установка"
" |text установить знак положить"
" |text просить проверить законность установка"
" |text просить перенастроить асудда утренний вечерний время постоянный пробка это перекресток слишком короткий время работа зеленый свет светофор поток попросту успевать проехать перекрывать проезд друг друг сторона сделать оптимальный время надоесть"
" |text сторона ул светлый работать кнопка светофор это мигать сигнал поступать светофор вчера вечером горелый"
" |text просить проверить законность установка"
" |text просить проверить законность установка"
" |text просить проверить законность установка"
" |text просить проверить законность установка"
" |text ремонт дорога год победа весь улица поставить знак стоянка запретить улица торговый организация иметь выход улица необходимый поставить дополнительный знак запрещать стоянка ночное время знак запрещать ст ку чета нечет"
